Date,Domain,SSP_Dash,SSP_Impressions,SSP,SSP Dash,SSP Impr
2025-05-17,ebay.com,0.03,27.0,PubMatic,,
2025-05-17,adobe.com,6.75,14508.0,PubMatic,,
2025-05-17,applevacations.com,0.04,34.0,PubMatic,,
2025-05-17,chase.com,0.05,20.0,PubMatic,,
2025-05-17,citroen.co.uk,0.0,1.0,PubMatic,,
2025-05-17,eastlink.ca,0.0,2.0,PubMatic,,
2025-05-17,wegmans.com,0.01,5.0,PubMatic,,
2025-05-17,travelguard.com,0.21,72.0,PubMatic,,
2025-05-17,exxon.com,0.0,1.0,PubMatic,,
2025-05-17,crocs.com,0.08,126.0,PubMatic,,
2025-05-17,directv.com,0.05,87.0,PubMatic,,
2025-05-17,callme.dk,0.0,0.0,PubMatic,,
2025-05-17,tempurpedic.com,0.0,0.0,PubMatic,,
2025-05-17,crackerbarrel.com,0.04,19.0,PubMatic,,
2025-05-17,txu.com,0.07,28.0,PubMatic,,
2025-05-17,broadwayinchicago.com,0.0,1.0,PubMatic,,
2025-05-17,betfair.com,0.0,1.0,PubMatic,,
2025-05-17,hormelfoods.com,0.2,348.0,PubMatic,,
2025-05-17,dteenergy.com,2.09,1520.0,PubMatic,,
2025-05-17,mdanderson.org,1.89,590.0,PubMatic,,
2025-05-17,shutterfly.com,0.06,34.0,PubMatic,,
2025-05-17,landrover.com,0.0,0.0,PubMatic,,
2025-05-17,warnerbros.com,2.69,788.0,PubMatic,,
2025-05-17,belkin.com,0.34,908.0,PubMatic,,
2025-05-17,walmart.ca,0.92,1737.0,PubMatic,,
2025-05-17,carnival.com,0.13,103.0,PubMatic,,
2025-05-17,westelm.com,0.0,0.0,PubMatic,,
2025-05-17,uhc.com,0.02,13.0,PubMatic,,
2025-05-17,travelwisconsin.com,0.0,1.0,PubMatic,,
2025-05-17,neimanmarcus.com,0.15,88.0,PubMatic,,
2025-05-17,indianapolismotorspeedway.com,0.03,38.0,PubMatic,,
2025-05-17,jcpenney.com,2.32,431.0,PubMatic,,
2025-05-17,abebooks.com,0.0,1.0,PubMatic,,
2025-05-17,coca-cola.com,1.11,1208.0,PubMatic,,
2025-05-17,iit.edu,0.0,1.0,PubMatic,,
2025-05-17,visitsequoia.com,0.0,0.0,PubMatic,,
2025-05-17,ikea.com,0.0,4.0,PubMatic,,
2025-05-17,hersheys.com,0.07,101.0,PubMatic,,
2025-05-17,brahma.com.ar,0.03,160.0,PubMatic,,
2025-05-17,centurycommunities.com,0.14,115.0,PubMatic,,
2025-05-17,poise.com,0.09,251.0,PubMatic,,
2025-05-17,roomandboard.com,0.0,0.0,PubMatic,,
2025-05-17,vistaprint.com,0.96,439.0,PubMatic,,
2025-05-17,centurylink.com,7.01,2980.0,PubMatic,,
2025-05-17,upack.com,0.0,3.0,PubMatic,,
2025-05-17,wsj.com,1.48,896.0,PubMatic,,
2025-05-17,samsung.com,1.39,3042.0,PubMatic,,
2025-05-17,wgu.edu,10.69,10401.0,PubMatic,,
2025-05-17,betterment.com,0.19,390.0,PubMatic,,
2025-05-17,keds.com,0.02,26.0,PubMatic,,
2025-05-17,fujitsu.com,0.44,991.0,PubMatic,,
2025-05-17,giantfood.com,0.01,35.0,PubMatic,,
2025-05-17,bonobos.com,0.0,1.0,PubMatic,,
